,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
28140,"frozenset({'F2H Fiber', 'Broadband Family', 'Postpaid Roaming'})","frozenset({'Broadband Premium', 'Wireless Broadband'})",0.3606382978723404,0.5702127659574469,0.33191489361702126,0.9203539823008849,1.614053625676925,0.1262743322770484,5.396217494089833
28339,"frozenset({'Postpaid Platinum', 'Postpaid', 'Broadband Premium', 'Wireless Broadband'})",frozenset({'Broadband Family'}),0.3202127659574468,0.7585106382978724,0.3,0.9368770764119602,1.235153508874113,0.0571152105024898,3.825699888017919
28340,"frozenset({'Postpaid Platinum', 'Postpaid', 'Broadband Family', 'Wireless Broadband'})",frozenset({'Broadband Premium'}),0.3021276595744681,0.7425531914893617,0.3,0.9929577464788732,1.33722103394003,0.0756541421457673,36.55744680851068
28345,"frozenset({'Postpaid Platinum', 'Postpaid', 'Wireless Broadband'})","frozenset({'Broadband Premium', 'Broadband Family'})",0.32340425531914896,0.6031914893617021,0.3,0.9276315789473684,1.5378724589250905,0.10492530556813037,5.48317214700193
28429,"frozenset({'Postpaid Roaming', 'Postpaid', 'Broadband Premium', 'Wireless Broadband'})",frozenset({'Broadband Family'}),0.33404255319148934,0.7585106382978724,0.3074468085106383,0.9203821656050957,1.2134070626490743,0.05407197827071075,3.0331063829787284
28430,"frozenset({'Postpaid Roaming', 'Postpaid', 'Broadband Family', 'Wireless Broadband'})",frozenset({'Broadband Premium'}),0.30851063829787234,0.7425531914893617,0.3074468085106383,0.9965517241379311,1.3420610611599646,0.07836124943413311,74.65957446808736
28432,"frozenset({'Postpaid', 'Broadband Premium', 'Broadband Family', 'Postpaid Roaming'})",frozenset({'Wireless Broadband'}),0.32659574468085106,0.6202127659574468,0.3074468085106383,0.9413680781758959,1.5178147401120792,0.10488795835219561,6.477482269503556
28435,"frozenset({'Postpaid Roaming', 'Postpaid', 'Wireless Broadband'})","frozenset({'Broadband Premium', 'Broadband Family'})",0.3372340425531915,0.6031914893617021,0.3074468085106383,0.9116719242902208,1.5114137721919005,0.10403010411951114,4.492439209726444
28441,"frozenset({'Postpaid', 'Broadband Family', 'Postpaid Roaming'})","frozenset({'Broadband Premium', 'Wireless Broadband'})",0.33085106382978724,0.5702127659574469,0.3074468085106383,0.9292604501607717,1.6296731775207562,0.11879130828429155,6.07562862669246
28608,"frozenset({'Postpaid Platinum', 'Postpaid Roaming', 'Broadband Premium', 'Wireless Broadband'})",frozenset({'Broadband Family'}),0.3904255319148936,0.7585106382978724,0.37127659574468086,0.9509536784741145,1.2537117219714833,0.07513467632412857,4.923699763593386
28609,"frozenset({'Postpaid Platinum', 'Postpaid Roaming', 'Broadband Family', 'Wireless Broadband'})",frozenset({'Broadband Premium'}),0.3776595744680851,0.7425531914893617,0.37127659574468086,0.9830985915492958,1.323943661971831,0.09084427342689,15.232269503546119
28612,"frozenset({'Postpaid Platinum', 'Broadband Premium', 'Broadband Family', 'Postpaid Roaming'})",frozenset({'Wireless Broadband'}),0.40106382978723404,0.6202127659574468,0.37127659574468086,0.9257294429708223,1.4925997879803996,0.12253168854685381,5.113563829787234
28613,"frozenset({'Postpaid Platinum', 'Postpaid Roaming', 'Wireless Broadband'})","frozenset({'Broadband Premium', 'Broadband Family'})",0.39787234042553193,0.6031914893617021,0.37127659574468086,0.9331550802139037,1.5470295862452725,0.13128338614757812,5.936255319148933
28620,"frozenset({'Postpaid Platinum', 'Broadband Family', 'Postpaid Roaming'})","frozenset({'Broadband Premium', 'Wireless Broadband'})",0.4095744680851064,0.5702127659574469,0.37127659574468086,0.9064935064935065,1.5897460748207015,0.1377320054323223,4.5963356973995255
30520,"frozenset({'Postpaid Platinum', 'F2H Fiber', 'Broadband Family', 'Wireless Broadband'})",frozenset({'DSL'}),0.3414893617021277,0.5468085106382978,0.31382978723404253,0.9190031152647974,1.6806671757760887,0.12710049796287912,5.595171849427161
30521,"frozenset({'Postpaid Platinum', 'F2H Fiber', 'Wireless Broadband', 'DSL'})",frozenset({'Broadband Family'}),0.32553191489361705,0.7585106382978724,0.31382978723404253,0.9640522875816993,1.2709805754934043,0.0669103666817564,6.717794970986442
30524,"frozenset({'Postpaid Platinum', 'F2H Fiber', 'Broadband Family', 'DSL'})",frozenset({'Wireless Broadband'}),0.3170212765957447,0.6202127659574468,0.31382978723404253,0.9899328859060401,1.5961182036906993,0.11720914440923494,37.72553191489305
30532,"frozenset({'Postpaid Platinum', 'F2H Fiber', 'DSL'})","frozenset({'Broadband Family', 'Wireless Broadband'})",0.33085106382978724,0.526595744680851,0.31382978723404253,0.9485530546623794,1.801292669459872,0.13960502489814394,9.201795212765951
30610,"frozenset({'Postpaid Roaming', 'Broadband Family', 'Wireless Broadband', 'F2H Fiber'})",frozenset({'DSL'}),0.3372340425531915,0.5468085106382978,0.3159574468085106,0.9369085173501577,1.7134124636364754,0.1315550022634676,7.183085106382974
30611,"frozenset({'DSL', 'Postpaid Roaming', 'Wireless Broadband', 'F2H Fiber'})",frozenset({'Broadband Family'}),0.33085106382978724,0.7585106382978724,0.3159574468085106,0.9549839228295819,1.2590250876014122,0.0650033952014486,5.364513677811537
30614,"frozenset({'F2H Fiber', 'Broadband Family', 'Postpaid Roaming', 'DSL'})",frozenset({'Wireless Broadband'}),0.3170212765957447,0.6202127659574468,0.3159574468085106,0.9966442953020134,1.6069393440547044,0.11933680398370303,113.17659574467915
30622,"frozenset({'F2H Fiber', 'Postpaid Roaming', 'DSL'})","frozenset({'Broadband Family', 'Wireless Broadband'})",0.33297872340425533,0.526595744680851,0.3159574468085106,0.9488817891373801,1.8019169329073481,0.14061226799456766,9.260970744680833
31090,"frozenset({'Postpaid Platinum', 'Postpaid Roaming', 'Broadband Family', 'Wireless Broadband'})",frozenset({'DSL'}),0.3776595744680851,0.5468085106382978,0.35,0.9267605633802816,1.6948539485942893,0.14349253055681302,6.187806873977077
